-0.134,0.220,-0.179,
-0.145,0.240,-0.197,
0.005,0.240,-0.189,
0.005,0.240,-0.189,
0.005,0.220,-0.170,
-0.134,0.220,-0.179,
-0.182,0.533,-0.162,
-0.182,0.436,-0.162,
-0.182,0.436,0.000,
-0.182,0.436,0.000,
-0.182,0.537,0.000,
-0.182,0.533,-0.162,
-0.038,0.189,0.000,
-0.109,0.193,0.000,
-0.110,0.206,-0.132,
-0.110,0.206,-0.132,
-0.027,0.190,-0.030,
-0.038,0.189,0.000,
-0.182,0.436,0.000,
-0.182,0.436,-0.162,
-0.182,0.234,-0.162,
-0.182,0.234,-0.162,
-0.182,0.220,0.000,
-0.182,0.436,0.000,
0.005,0.240,-0.189,
0.005,0.436,-0.189,
0.160,0.436,-0.181,
0.160,0.436,-0.181,
0.160,0.240,-0.181,
0.005,0.240,-0.189,
0.032,0.189,0.000,
0.021,0.190,-0.027,
0.124,0.206,-0.124,
0.124,0.206,-0.124,
0.122,0.193,0.000,
0.032,0.189,0.000,
0.005,0.534,-0.189,
0.160,0.534,-0.181,
0.160,0.436,-0.181,
0.160,0.436,-0.181,
0.005,0.436,-0.189,
0.005,0.534,-0.189,
-0.182,0.533,-0.162,
-0.145,0.534,-0.197,
-0.145,0.436,-0.197,
-0.145,0.436,-0.197,
-0.182,0.436,-0.162,
-0.182,0.533,-0.162,
-0.145,0.240,-0.197,
-0.182,0.234,-0.162,
-0.182,0.436,-0.162,
-0.182,0.436,-0.162,
-0.145,0.436,-0.197,
-0.145,0.240,-0.197,
0.005,0.220,-0.170,
0.003,0.206,-0.130,
-0.110,0.206,-0.132,
-0.110,0.206,-0.132,
-0.134,0.220,-0.179,
0.005,0.220,-0.170,
0.124,0.206,-0.124,
0.003,0.206,-0.130,
0.005,0.220,-0.170,
0.005,0.220,-0.170,
0.148,0.220,-0.164,
0.124,0.206,-0.124,
0.005,0.534,-0.189,
-0.145,0.534,-0.197,
-0.137,0.554,-0.175,
-0.137,0.554,-0.175,
0.005,0.554,-0.168,
0.005,0.534,-0.189,
-0.182,0.533,-0.162,
-0.182,0.537,0.000,
-0.162,0.560,0.000,
-0.162,0.560,0.000,
-0.162,0.554,-0.143,
-0.182,0.533,-0.162,
0.143,0.554,-0.162,
0.160,0.534,-0.181,
0.005,0.534,-0.189,
0.005,0.534,-0.189,
0.005,0.554,-0.168,
0.143,0.554,-0.162,
-0.137,0.554,-0.175,
-0.145,0.534,-0.197,
-0.182,0.533,-0.162,
-0.182,0.533,-0.162,
-0.162,0.554,-0.143,
-0.137,0.554,-0.175,
-0.168,0.200,0.000,
-0.166,0.215,-0.149,
-0.110,0.206,-0.132,
-0.110,0.206,-0.132,
-0.109,0.193,0.000,
-0.168,0.200,0.000,
0.124,0.206,-0.124,
0.178,0.214,-0.138,
0.177,0.200,0.000,
0.177,0.200,0.000,
0.122,0.193,0.000,
0.124,0.206,-0.124,
-0.182,0.220,0.000,
-0.182,0.234,-0.162,
-0.166,0.215,-0.149,
-0.166,0.215,-0.149,
-0.168,0.200,0.000,
-0.182,0.220,0.000,
0.005,0.240,-0.189,
0.160,0.240,-0.181,
0.148,0.220,-0.164,
0.148,0.220,-0.164,
0.005,0.220,-0.170,
0.005,0.240,-0.189,
-0.182,0.234,-0.162,
-0.145,0.240,-0.197,
-0.134,0.220,-0.179,
-0.134,0.220,-0.179,
-0.166,0.215,-0.149,
-0.182,0.234,-0.162,
0.124,0.565,-0.121,
0.121,0.570,0.000,
0.172,0.560,0.000,
0.172,0.560,0.000,
0.172,0.553,-0.136,
0.124,0.565,-0.121,
-0.114,0.570,0.000,
0.005,0.570,0.000,
0.005,0.565,-0.127,
0.005,0.565,-0.127,
-0.119,0.565,-0.132,
-0.114,0.570,0.000,
-0.145,0.436,-0.197,
-0.145,0.534,-0.197,
0.005,0.534,-0.189,
0.005,0.534,-0.189,
0.005,0.436,-0.189,
-0.145,0.436,-0.197,
0.177,0.200,0.000,
0.178,0.214,-0.138,
0.193,0.234,-0.152,
0.193,0.234,-0.152,
0.193,0.221,0.000,
0.177,0.200,0.000,
0.193,0.221,0.000,
0.193,0.234,-0.152,
0.193,0.436,-0.152,
0.193,0.436,-0.152,
0.193,0.436,0.000,
0.193,0.221,0.000,
0.193,0.234,-0.152,
0.178,0.214,-0.138,
0.148,0.220,-0.164,
0.148,0.220,-0.164,
0.160,0.240,-0.181,
0.193,0.234,-0.152,
0.160,0.436,-0.181,
0.193,0.436,-0.152,
0.193,0.234,-0.152,
0.193,0.234,-0.152,
0.160,0.240,-0.181,
0.160,0.436,-0.181,
0.193,0.533,-0.152,
0.172,0.553,-0.136,
0.172,0.560,0.000,
0.172,0.560,0.000,
0.193,0.537,0.000,
0.193,0.533,-0.152,
0.172,0.553,-0.136,
0.193,0.533,-0.152,
0.160,0.534,-0.181,
0.160,0.534,-0.181,
0.143,0.554,-0.162,
0.172,0.553,-0.136,
0.193,0.436,0.000,
0.193,0.436,-0.152,
0.193,0.533,-0.152,
0.193,0.533,-0.152,
0.193,0.537,0.000,
0.193,0.436,0.000,
0.160,0.436,-0.181,
0.160,0.534,-0.181,
0.193,0.533,-0.152,
0.193,0.533,-0.152,
0.193,0.436,-0.152,
0.160,0.436,-0.181,
-0.119,0.565,-0.132,
0.005,0.565,-0.127,
0.005,0.554,-0.168,
0.005,0.554,-0.168,
-0.137,0.554,-0.175,
-0.119,0.565,-0.132,
0.124,0.565,-0.121,
0.143,0.554,-0.162,
0.005,0.554,-0.168,
0.005,0.554,-0.168,
0.005,0.565,-0.127,
0.124,0.565,-0.121,
0.124,0.565,-0.121,
0.005,0.565,-0.127,
0.005,0.570,0.000,
0.005,0.570,0.000,
0.121,0.570,0.000,
0.124,0.565,-0.121,
-0.119,0.565,-0.132,
-0.162,0.554,-0.143,
-0.162,0.560,0.000,
-0.162,0.560,0.000,
-0.114,0.570,0.000,
-0.119,0.565,-0.132,
