0.497,0.357,
0.497,0.343,
0.424,0.343,
0.424,0.343,
0.424,0.357,
0.497,0.357,
0.520,0.200,
0.520,0.247,
0.597,0.247,
0.597,0.247,
0.598,0.199,
0.520,0.200,
0.259,0.470,
0.260,0.504,
0.325,0.504,
0.325,0.504,
0.275,0.464,
0.259,0.470,
0.597,0.247,
0.520,0.247,
0.520,0.344,
0.520,0.344,
0.596,0.345,
0.597,0.247,
0.424,0.343,
0.424,0.247,
0.350,0.247,
0.350,0.247,
0.350,0.343,
0.424,0.343,
0.259,0.435,
0.273,0.440,
0.321,0.389,
0.321,0.389,
0.259,0.390,
0.259,0.435,
0.424,0.200,
0.349,0.200,
0.350,0.247,
0.350,0.247,
0.424,0.247,
0.424,0.200,
0.520,0.200,
0.497,0.200,
0.497,0.247,
0.497,0.247,
0.520,0.247,
0.520,0.200,
0.497,0.343,
0.520,0.344,
0.520,0.247,
0.520,0.247,
0.497,0.247,
0.497,0.343,
0.344,0.447,
0.323,0.448,
0.325,0.504,
0.325,0.504,
0.348,0.515,
0.344,0.447,
0.321,0.389,
0.323,0.448,
0.344,0.447,
0.344,0.447,
0.341,0.377,
0.321,0.389,
0.424,0.200,
0.497,0.200,
0.497,0.185,
0.497,0.185,
0.424,0.185,
0.424,0.200,
0.520,0.200,
0.598,0.199,
0.598,0.184,
0.598,0.184,
0.520,0.185,
0.520,0.200,
0.352,0.185,
0.349,0.200,
0.424,0.200,
0.424,0.200,
0.424,0.185,
0.352,0.185,
0.497,0.185,
0.497,0.200,
0.520,0.200,
0.520,0.200,
0.520,0.185,
0.497,0.185,
0.260,0.531,
0.333,0.530,
0.325,0.504,
0.325,0.504,
0.260,0.504,
0.260,0.531,
0.321,0.389,
0.328,0.360,
0.259,0.364,
0.259,0.364,
0.259,0.390,
0.321,0.389,
0.596,0.345,
0.520,0.344,
0.520,0.357,
0.520,0.357,
0.596,0.357,
0.596,0.345,
0.424,0.343,
0.350,0.343,
0.352,0.357,
0.352,0.357,
0.424,0.357,
0.424,0.343,
0.520,0.344,
0.497,0.343,
0.497,0.357,
0.497,0.357,
0.520,0.357,
0.520,0.344,
0.316,0.163,
0.257,0.161,
0.257,0.186,
0.257,0.186,
0.326,0.187,
0.316,0.163,
0.257,0.048,
0.257,0.106,
0.319,0.106,
0.319,0.106,
0.321,0.045,
0.257,0.048,
0.497,0.247,
0.497,0.200,
0.424,0.200,
0.424,0.200,
0.424,0.247,
0.497,0.247,
0.259,0.364,
0.328,0.360,
0.331,0.346,
0.331,0.346,
0.259,0.351,
0.259,0.364,
0.259,0.351,
0.331,0.346,
0.330,0.247,
0.330,0.247,
0.258,0.247,
0.259,0.351,
0.331,0.346,
0.328,0.360,
0.352,0.357,
0.352,0.357,
0.350,0.343,
0.331,0.346,
0.350,0.247,
0.330,0.247,
0.331,0.346,
0.331,0.346,
0.350,0.343,
0.350,0.247,
0.330,0.200,
0.326,0.187,
0.257,0.186,
0.257,0.186,
0.258,0.200,
0.330,0.200,
0.326,0.187,
0.330,0.200,
0.349,0.200,
0.349,0.200,
0.352,0.185,
0.326,0.187,
0.258,0.247,
0.330,0.247,
0.330,0.200,
0.330,0.200,
0.258,0.200,
0.258,0.247,
0.350,0.247,
0.349,0.200,
0.330,0.200,
0.330,0.200,
0.330,0.247,
0.350,0.247,
0.321,0.045,
0.319,0.106,
0.339,0.106,
0.339,0.106,
0.342,0.037,
0.321,0.045,
0.316,0.163,
0.337,0.172,
0.339,0.106,
0.339,0.106,
0.319,0.106,
0.316,0.163,
0.316,0.163,
0.319,0.106,
0.257,0.106,
0.257,0.106,
0.257,0.161,
0.316,0.163,
0.321,0.045,
0.326,0.024,
0.256,0.024,
0.256,0.024,
0.257,0.048,
0.321,0.045,
0.259,0.470,
0.275,0.464,
0.272,0.462,
0.272,0.462,
0.259,0.467,
0.259,0.470,
0.273,0.440,
0.259,0.435,
0.259,0.439,
0.259,0.439,
0.270,0.444,
0.273,0.440,
0.278,0.451,
0.273,0.440,
0.270,0.444,
0.270,0.444,
0.274,0.452,
0.278,0.451,
0.275,0.464,
0.278,0.451,
0.274,0.452,
0.274,0.452,
0.272,0.462,
0.275,0.464,
0.497,0.247,
0.424,0.247,
0.424,0.343,
0.424,0.343,
0.497,0.343,
0.497,0.247,
0.092,0.345,
0.019,0.345,
0.019,0.358,
0.019,0.358,
0.092,0.358,
0.092,0.345,
0.597,0.247,
0.674,0.247,
0.674,0.199,
0.674,0.199,
0.598,0.199,
0.597,0.247,
0.194,0.504,
0.260,0.504,
0.259,0.470,
0.259,0.470,
0.244,0.465,
0.194,0.504,
0.674,0.345,
0.674,0.247,
0.597,0.247,
0.597,0.247,
0.596,0.345,
0.674,0.345,
0.092,0.345,
0.166,0.343,
0.166,0.247,
0.166,0.247,
0.092,0.247,
0.092,0.345,
0.198,0.389,
0.246,0.440,
0.259,0.435,
0.259,0.435,
0.259,0.390,
0.198,0.389,
0.166,0.247,
0.166,0.200,
0.092,0.200,
0.092,0.200,
0.092,0.247,
0.166,0.247,
0.698,0.247,
0.698,0.199,
0.674,0.199,
0.674,0.199,
0.674,0.247,
0.698,0.247,
0.697,0.345,
0.698,0.247,
0.674,0.247,
0.674,0.247,
0.674,0.345,
0.697,0.345,
0.174,0.448,
0.171,0.516,
0.194,0.504,
0.194,0.504,
0.195,0.449,
0.174,0.448,
0.198,0.389,
0.177,0.378,
0.174,0.448,
0.174,0.448,
0.195,0.449,
0.198,0.389,
0.020,0.185,
0.020,0.200,
0.092,0.200,
0.092,0.200,
0.092,0.185,
0.020,0.185,
0.598,0.184,
0.598,0.199,
0.674,0.199,
0.674,0.199,
0.674,0.184,
